,isbn,isbn13,title
600,K032630260,9791157844241,까면서 보는 해부학 만화
618,8954677258,9788954677257,천문학자는 별을 보지 않는다 (리커버)
606,K482733118,9791190179874,나는 왜 생각이 많을까? - 머릿속의 스위치를 끄고 싶을 때 보는 뇌과학 이야기
614,8967359306,9788967359300,식물과 나
149,K922639032,,[세트] 나는 나로 살기로 했다 (100만부 기념 클래식 에디션) + 애쓰지 않고 편안하게 - 전2권
179,8964620879,9788964620878,야밤의 공대생 만화
613,K492734119,9791166819698,과학자의 흑역사 - 세계 최고 지성인도 피해 갈 수 없는 삽질의 기록들
71,K342734532,9791165216894,아이패드로 그리는 움직이는 이모티콘 만들기 with 프로크리에이트
604,8974799383,9788974799380,뉴로다르마
1018,K462630410,9791164710683,"[큰글씨책] 세 종교 이야기  - 유대교.기독교.이슬람교, 믿음과 분쟁의 역사"
792,K212734960,9791196814342,요리코를 위해 (스페셜 리커버 에디션)
597,K812738799,9791164137411,"엔드 오브 타임 - 브라이언 그린이 말하는 세상의 시작과 진화, 그리고 끝"
17,K182734784,9791130313450,혁신의 비논리 - 모순을 통해 혁신리더십을 키우는 방법
616,K442734505,9772383984000,노화에 도전하는 과학
601,K922734898,9791166890413,고래가 가는 곳 - 바닷속 우리의 동족 고래가 품은 지구의 비밀
611,8958207205,9788958207207,"식물 디자인의 발견 - 가든디자이너 오경아의 형태, 질감, 색, 계절별 정원 식물 스타일링"
814,K832733796,9791160947427,단명소녀 투쟁기 - 1회 박지리문학상 수상작
742,K482734023,9791165796860,마술 피리 - 동화 속 범죄사건 추리 파일
1046,K522730325,9791186274804,"일상이 고고학, 나 혼자 가야 여행"
726,K802532122,,[세트] 여름은 오래 그곳에 남아 + 우아한지 어떤지 모르는 - 전2권
602,K962734965,9791189336417,인공지능은 무엇이 되려 하는가 - AI의 가능성과 위험을 바라보는 석학 25인의 시선
899,K532734135,,(전11권)본격 한중일 세계사 1~11권 세트
612,8983718919,9788983718914,김상욱의 양자 공부 - 완전히 새로운 현대 물리학 입문
712,K812639086,9791187700364,모든 이의 과학사 강의 - 역사와 문화로 이해하는 과학 인문학
961,K342734548,9791162542408,세계미래보고서 2022 : 메타 사피엔스가 온다 - 세계적인 미래연구기구 ‘밀레니엄 프로젝트’가의 2022 대전망!
4,8954675352,9788954675352,부지런한 사랑 (리커버) - 몸과 마음을 탐구하는 이슬아 글방
703,K342632700,9791190776134,일상을 바꾼 14가지 약 이야기 - 인문학 하는 약사의 잡학다식 약 교양서
153,8956034818,9788956034812,난장이가 쏘아올린 작은 공
970,K442633711,9791186061688,세계사와 포개 읽는 한국 100년 동안의 역사 1 : 한반도의 깊은 잠 - 아편전쟁에서 일본의 개국까지
95,K852636283,9791187147473,앞서가는 아이들은 어떻게 배우는가 - 전 세계 학습혁명 현장을 찾아 나선 글로벌 탐사기
