순번,판매자명,구분,상품명,부제,시리즈명,시리즈번호,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,대여가,정가,판매가,할인액,할인율,마일리지,출간일,분야,수량,장바구니에 담은 날짜
0,알라딘 직배송,국내도서,화성에서 온 남자 금성에서 온 여자 (100만 부 특별 리커버판),,,,8990514827,9.79E+12,,동녘라이프(친구미디어),"존 그레이 지음, 김경숙 옮김",0,"16,800","15,120","1,680",10%,840점,20210325,국내도서>가정/요리/뷰티>결혼/가족>부부관계,1,2021-09-22
1,알라딘 직배송,국내도서,조선무쌍신식요리제법,일제강점기 소중히 지켜낸 우리 요리,,,K652636675,9.79E+12,13590,라이스트리,이용기 지음,0,"22,000","19,800","2,200",10%,"1,100점",20191028,국내도서>가정/요리/뷰티>나라별 요리>한국요리,1,2021-09-22
2,알라딘 직배송,국내도서,THE FOOD LAB 더 푸드 랩 : 더 나은 요리를 위한 주방 과학의 모든것!,,,,8931455623,9.79E+12,13590,영진.com(영진닷컴),"J. 켄지 로페즈 알트 지음, 임현수 옮김, 송윤형(챨리) 감수",0,"55,000","49,500","5,500",10%,"2,750점",20170628,국내도서>가정/요리/뷰티>음식 이야기,1,2021-09-22
3,알라딘 직배송,국내도서,우리 안의 사자,"필라테스의 탄생과 역사, 위기와 부활, 깊은 매력의 비밀에 이르기까지",,,K602731356,9.79E+12,13690,책밥,"존 하워드 스틸 지음, 김난영 외 옮김",0,"22,000","19,800","2,200",10%,"1,100점",20210524,국내도서>건강/취미/레저>건강운동>요가/체조/스트레칭,1,2021-09-22
4,알라딘 직배송,국내도서,어싱 : 땅과의 접촉이 치유한다,,,,8994139036,9.79E+12,3510,히어나우시스템,"클린턴 오버 지음, 김연주 옮김",0,"15,000","13,500","1,500",10%,750점,20110915,국내도서>건강/취미/레저>건강정보>건강에세이/건강정보,1,2021-09-22
5,알라딘 직배송,국내도서,호르몬과 건강의 비밀,한번 알아두면 평생 써먹는 호르몬 건강법,,,K302737809,9.79E+12,3510,현대지성,"요하네스 뷔머 지음, 배명자 옮김",0,"12,000","10,800","1,200",10%,600점,20201230,국내도서>건강/취미/레저>건강정보>건강에세이/건강정보,1,2021-09-22
6,알라딘 직배송,국내도서,햇빛의 선물,"당뇨에서 암까지, 최고의 치유 에너지",,,8967441681,9.79E+12,13510,에디터,"안드레아스 모리츠 지음, 정진근 옮김",0,"12,800","11,520","1,280",10%,640점,20160622,국내도서>건강/취미/레저>건강정보>건강에세이/건강정보,1,2021-09-22
7,알라딘 직배송,국내도서,모든 병은 몸속 정전기가 원인이다,,,,899748415X,9.79E+12,13510,전나무숲,"호리 야스노리 지음, 김서연 옮김",0,"13,000","11,700","1,300",10%,650점,20130117,국내도서>건강/취미/레저>건강정보>건강에세이/건강정보,1,2021-09-22
8,알라딘 직배송,국내도서,다시 그리는 한국프로야구사,,,,K462734118,9.79E+12,7690,이후진프레스,박성환 지음,0,"19,000","17,100","1,900",10%,950점,20210915,국내도서>건강/취미/레저>구기>야구,1,2021-09-22
9,알라딘 직배송,국내도서,고양이 질병의 모든 것,,,,8997137441,9.79E+12,3520,책공장더불어,"데브라 M. 엘드레지 외 지음, 홍민기 옮김",0,"35,000","31,500","3,500",10%,"1,750점",20210405,국내도서>건강/취미/레저>반려동물,1,2021-09-22
10,알라딘 직배송,국내도서,자동차 운전 교과서,도로에서 절대 기죽지 않는 초보 운전자를 위한 안전.방어 운전술,지적생활자를 위한 교과서 시리즈,117232,896494271X,9.79E+12,13550,보누스,"가와사키 준코 지음, 고조 루미코 그림, 신찬 옮김, 주재홍.하성수 감수",0,"13,800","12,420","1,380",10%,690점,20160920,국내도서>건강/취미/레저>스포츠/레저 기타>기타,1,2021-09-22
11,알라딘 직배송,국내도서,꽃도감,"꽃집에서 인기 있는 꽃 469종, 개정증보판",,,K452738329,9.79E+12,13630,한즈미디어(한스미디어),"방현희 옮김, 몽소 플레르 감수",0,"22,000","19,800","2,200",10%,"1,100점",20210217,국내도서>건강/취미/레저>원예>꽃꽂이,1,2021-09-22
12,알라딘 직배송,국내도서,정원생활자의 열두 달,그림으로 배우는 실내외 가드닝 수업,오경아의 정원학교 시리즈,105281,8958205148,9.79E+12,3520,궁리,오경아 지음,0,"20,000","18,000","2,000",10%,"1,000점",20180312,국내도서>건강/취미/레저>원예>화훼,1,2021-09-22
13,알라딘 직배송,국내도서,식물 디자인의 발견,"가든디자이너 오경아의 형태, 질감, 색, 계절별 정원 식물 스타일링",오경아의 정원학교 시리즈,105281,8958207205,9.79E+12,,궁리,오경아 지음,0,"20,000","18,000","2,000",10%,"1,000점",20210813,국내도서>건강/취미/레저>원예>화훼,1,2021-09-22
14,알라딘 직배송,국내도서,슈퍼 스도쿠 익스트림,IQ 148을 위한 최상급 난제,슈퍼 스도쿠 시리즈 13,101801,896494514X,9.79E+12,4410,보누스,크리스티나 스미스.릭 스미스 지음,0,"9,800","8,820",980,10%,490점,20210810,국내도서>건강/취미/레저>퍼즐/스도쿠/퀴즈,1,2021-09-22
