,pred_score,like,상품명,분야
326,0.284298886037521,0.0,동적시스템 자동제어,국내도서>대학교재/전문서적>공학계열>전기전자공학>신호처리/제어
919,0.1881407648061707,0.0,내 안의 어린 아이가 울고 있다,국내도서>인문학>심리학/정신분석학>심리치료
378,0.1827107665731903,0.0,정치적 부족주의,국내도서>사회과학>정치학/외교학/행정학>세계패권과 국제질서
186,0.1720748865750848,0.0,차트분석 무작정 따라하기,국내도서>경제경영>재테크/투자>주식/펀드
314,0.1574593748402693,0.0,공급사슬관리,국내도서>대학교재/전문서적>경상계열>경영학
368,0.1558343899752033,0.0,자본론 1 - 하,국내도서>사회과학>사회사상/사회사상사>마르크스주의>고전 마르크스주의
217,0.1523521073455343,0.0,모든 것은 그 자리에,국내도서>과학>기초과학/교양과학
952,0.1417521898205202,0.0,오늘부터 나는 브랜드가 되기로 했다,국내도서>자기계발>성공>성공학
92,0.1352079021696055,0.0,송사무장의 부동산 경매의 기술,국내도서>경제경영>재테크/투자>부동산/경매
674,0.1324965944527576,0.0,세일즈맨의 죽음,국내도서>소설/시/희곡>희곡>외국희곡
675,0.126287510428391,0.0,초판본 햄릿 (양장),국내도서>소설/시/희곡>희곡>외국희곡
658,0.1245551812095312,0.0,옥상에서 만나요,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
369,0.1237368388758294,0.0,애덤 스미스 국부론,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반
228,0.1234423305757341,0.0,고래가 가는 곳,국내도서>과학>기초과학/교양과학
256,0.1221658638268028,0.0,나무 수업,국내도서>과학>동물과 식물>꽃과 나무
329,0.1216239997032252,0.0,핵심이 보이는 제어공학,국내도서>대학교재/전문서적>공학계열>전기전자공학>신호처리/제어
130,0.1198717492124642,0.0,돈의 속성 (150쇄 기념 에디션),국내도서>경제경영>재테크/투자>재테크/투자 일반
756,0.1194949722872682,0.0,본격 한중일 세계사 11,국내도서>역사>아시아사>동아시아/극동아시아사
379,0.1186271886511365,0.0,군주론,국내도서>사회과학>정치학/외교학/행정학>외교정책/외교학
847,0.1181989174900888,0.0,노화의 종말,국내도서>인문학>교양 인문학
